Brand,Product Name,Price,Rating,Number of Ratings,Link,Product Type,Product ID
UNITE Hair,BLONDA Toning Shampoo,$35.00 ,4.9,139,https://www.ulta.com/p/blonda-toning-shampoo-pimprod2043568?sku=2622993,Shampoo,U113
Andrew Fitzsimons,Body Volume Boosting Shampoo,$16.00 ,4.5,103,https://www.ulta.com/p/body-volume-boosting-shampoo-pimprod2031948?sku=2594430,Shampoo,U114
SheaMoisture,Amla Oil Bond Repair Shampoo,$14.99 ,4.7,795,https://www.ulta.com/p/amla-oil-bond-repair-shampoo-pimprod2044651?sku=2620662,Shampoo,U115
Redken,Travel Size Acidic Color Gloss Sulfate Free Shampoo,$13.00 ,4.7,674,https://www.ulta.com/p/travel-size-acidic-color-gloss-sulfate-free-shampoo-pimprod2042835?sku=2619142,Shampoo,U116
Nexxus,Amino Bond Shampoo,$17.99 ,4.6,503,https://www.ulta.com/p/amino-bond-shampoo-pimprod2042973?sku=2617641,Shampoo,U117
Pureology,Travel Size Strength Cure Shampoo,$11.00 ,4.6,3300,https://www.ulta.com/p/travel-size-strength-cure-shampoo-pimprod2017818?sku=2565119,Shampoo,U118
Batiste,Blush Dry Shampoo - Floral & Flirty,$12.49 - $20.99 ,4.5,5221,https://www.ulta.com/p/blush-dry-shampoo-floral-flirty-pimprod2009870?sku=2217463,Shampoo,U119
Batiste,Rose Gold Dry Shampoo - Pretty & Delicate,$12.49 ,4.5,167,https://www.ulta.com/p/rose-gold-dry-shampoo-pretty-delicate-pimprod2009908?sku=2520184,Shampoo,U120
NatureLab. Tokyo,Perfect Repair Shampoo Refill,$23.00 ,4.6,260,https://www.ulta.com/p/perfect-repair-shampoo-refill-pimprod2017208?sku=2568898,Shampoo,U121
L'Oréal,EverPure Glossing Shampoo,$9.99 ,4.5,1040,https://www.ulta.com/p/everpure-glossing-shampoo-pimprod2028152?sku=2589176,Shampoo,U122
Virtue,Smooth Shampoo for Coarse or Textured Hair,$42.00 ,4.8,398,https://www.ulta.com/p/smooth-shampoo-coarse-textured-hair-pimprod2021753?sku=2577879,Shampoo,U123
Pravana,Intense Therapy Shampoo,$21.99 - $43.99 ,4.5,870,https://www.ulta.com/p/intense-therapy-shampoo-pimprod2019286?sku=2566080,Shampoo,U124
Virtue,ColorKick Blue-Purple De-Brassing Shampoo for All Hair Shades,$44.00 ,4.7,142,https://www.ulta.com/p/colorkick-blue-purple-de-brassing-shampoo-all-hair-shades-pimprod2030127?sku=2593838,Shampoo,U125
dpHUE,ACV Revitalizing Shampoo,$32.00 ,4.6,368,https://www.ulta.com/p/acv-revitalizing-shampoo-pimprod2039426?sku=2608598,Shampoo,U126
Briogeo,Color Me Brilliant Mushroom + Bamboo Color Protect Shampoo,$32.00 ,4.7,105,https://www.ulta.com/p/color-me-brilliant-mushroom-bamboo-color-protect-shampoo-pimprod2037055?sku=2606254,Shampoo,U127
Wella,Nutricurls Waves Shampoo,$25.00 - $54.30 ,4.5,123,https://www.ulta.com/p/nutricurls-waves-shampoo-pimprod2008398?sku=2560286,Shampoo,U128
Carol's Daughter,Goddess Strength Fortifying Shampoo,$12.99 ,4.6,1195,https://www.ulta.com/p/goddess-strength-fortifying-shampoo-pimprod2019970?sku=2572928,Shampoo,U129
Klorane,Volumizing Dry Shampoo with Flax,$24.00 ,4.5,209,https://www.ulta.com/p/volumizing-dry-shampoo-with-flax-pimprod2032006?sku=2594709,Shampoo,U130
Wella,Invigo Volume Boost Shampoo,$19.90 ,4.5,138,https://www.ulta.com/p/invigo-volume-boost-shampoo-pimprod2003495?sku=2541301,Shampoo,U131
Color Wow,Curl Hooked 100% Clean Shampoo with Root-Locking Technology,$29.00 ,4.7,106,https://www.ulta.com/p/curl-hooked-100-clean-shampoo-with-root-locking-technology-pimprod2044131?sku=2607947,Shampoo,U132
Beachwaver Co.,Second Chance Dry Shampoo,$26.00 ,4.6,149,https://www.ulta.com/p/second-chance-dry-shampoo-pimprod2012637?sku=2560998,Shampoo,U133
NatureLab. Tokyo,Perfect Repair Shampoo,$15.00 ,4.6,260,https://www.ulta.com/p/perfect-repair-shampoo-pimprod2013647?sku=2564021,Shampoo,U134
Ouidad,Unbreakable Bonds Bond Building Shampoo,$26.00 ,4.5,139,https://www.ulta.com/p/unbreakable-bonds-bond-building-shampoo-pimprod2037850?sku=2607870,Shampoo,U135
Virtue,Healthy Hair Refresh Dry Shampoo,$36.00 ,4.7,123,https://www.ulta.com/p/healthy-hair-refresh-dry-shampoo-pimprod2021787?sku=2577993,Shampoo,U136
Bumble and bumble,Creme De Coco Tropical-Riche Shampoo,$34.00 ,4.5,109,https://www.ulta.com/p/creme-de-coco-tropical-riche-shampoo-xlsImpprod16451156?sku=2515559,Shampoo,U137
Wella,Invigo Blonde Recharge Cool Blonde Purple Shampoo,$18.70 ,4.6,134,https://www.ulta.com/p/invigo-blonde-recharge-cool-blonde-purple-shampoo-pimprod2003497?sku=2541299,Shampoo,U138
Mielle,Pomegranate & Honey Moisturizing And Detangling Shampoo,$30.99 ,4.7,2226,https://www.ulta.com/p/pomegranate-honey-moisturizing-detangling-shampoo-pimprod2039394?sku=2612267,Shampoo,U139
L'Oréal,EverPure Sulfate Free Simply Clean Shampoo,$9.99 ,4.5,676,https://www.ulta.com/p/everpure-sulfate-free-simply-clean-shampoo-pimprod2040683?sku=2611249,Shampoo,U140
Paul Mitchell,Travel Size Tea Tree Special Shampoo,$9.50 ,4.5,3489,https://www.ulta.com/p/travel-size-tea-tree-special-shampoo-xlsImpprod10271367?sku=2270737,Shampoo,U141
Bumble and bumble,Surf Foam Wash Shampoo,$34.00 ,4.6,105,https://www.ulta.com/p/surf-foam-wash-shampoo-xlsImpprod16451070?sku=2516160,Shampoo,U142
DERMA E,Therapeutic Mint Thickening Shampoo,$13.00 ,4.5,150,https://www.ulta.com/p/therapeutic-mint-thickening-shampoo-pimprod2013783?sku=2560507,Shampoo,U143
Kitsch,Ultra Sensitive Solid Shampoo & Body Wash Bar,$14.00 ,4.8,101,https://www.ulta.com/p/ultra-sensitive-solid-shampoo-body-wash-bar-pimprod2044017?sku=2621149,Shampoo,U144
